Sales Person,Country,Product,Date,Clean Amount,Boxes Shipped,Performance,Market,Look Up Test
Jehu Rudeforth,UK,Mint Chip Choco,1/4/2022,5320.00,180,High,Other,5929.177805
Van Tuxwell,India,85% Dark Bars,8/1/2022,7896.00,94,High,Other,5929.177805
Gigi Bohling,India,Peanut Butter Cubes,7/7/2022,4501.00,91,High,Other,5929.177805
Jan Morforth,Australia,Peanut Butter Cubes,4/27/2022,12726.00,342,High,Other,5929.177805
Jehu Rudeforth,UK,Peanut Butter Cubes,2/24/2022,13685.00,184,High,Other,5929.177805
Van Tuxwell,India,Smooth Sliky Salty,6/6/2022,5376.00,38,High,Other,5918.108062
Oby Sorrel,UK,99% Dark & Pure,1/25/2022,13685.00,176,High,Other,5918.108062
Gunar Cockshoot,Australia,After Nines,3/24/2022,3080.00,73,High,Other,5918.108062
Jehu Rudeforth,New Zealand,50% Dark Bites,4/20/2022,3990.00,59,High,Other,5918.108062
Brien Boise,Australia,99% Dark & Pure,7/4/2022,2835.00,102,High,Other,5922.737928
Rafaelita Blaksland,UK,Smooth Sliky Salty,1/13/2022,4704.00,62,High,Other,5922.737928
Barr Faughny,USA,Orange Choco,3/10/2022,3703.00,11,High,Other,5927.783252
Mallorie Waber,Canada,Eclairs,1/13/2022,1442.00,286,High,Other,5927.783252
Karlen McCaffrey,New Zealand,Drinking Coco,7/28/2022,168.00,156,Low,Other,5927.783252
Marney O'Breen,New Zealand,Peanut Butter Cubes,8/3/2022,8379.00,173,High,Other,5927.783252
Beverie Moffet,Australia,Organic Choco Syrup,1/26/2022,6790.00,356,High,Other,5927.783252
Van Tuxwell,Canada,Organic Choco Syrup,2/14/2022,4067.00,42,High,Other,5927.783252
Roddy Speechley,USA,Smooth Sliky Salty,4/5/2022,3017.00,140,High,Other,5926.372095
Beverie Moffet,Canada,Milk Bars,2/16/2022,8799.00,250,High,Other,5926.372095
Curtice Advani,UK,85% Dark Bars,6/8/2022,1085.00,172,High,Other,5926.372095
Brien Boise,Australia,Eclairs,6/27/2022,6888.00,88,High,Other,5926.372095
Gunar Cockshoot,USA,Spicy Special Slims,2/17/2022,1267.00,157,High,Other,5926.372095
Marney O'Breen,USA,After Nines,5/30/2022,4753.00,163,High,Other,5924.795656
Husein Augar,UK,Drinking Coco,3/14/2022,3003.00,113,High,Other,5924.795656
Kaine Padly,Australia,Eclairs,2/28/2022,7672.00,115,High,Other,5924.795656
Karlen McCaffrey,India,Fruit & Nut Bars,1/26/2022,168.00,321,Low,Other,5924.795656
Roddy Speechley,Canada,Spicy Special Slims,2/9/2022,1652.00,186,High,Other,5921.926683
Husein Augar,USA,Eclairs,7/7/2022,4025.00,112,High,Other,5921.926683
Dennison Crosswaite,New Zealand,White Choc,7/5/2022,9492.00,151,High,Other,5921.926683
Dennison Crosswaite,New Zealand,Manuka Honey Choco,6/15/2022,5061.00,301,High,Other,5921.926683
Van Tuxwell,New Zealand,85% Dark Bars,5/24/2022,1722.00,121,High,Other,5921.926683
Rafaelita Blaksland,UK,99% Dark & Pure,6/29/2022,12446.00,150,High,Other,5921.926683
Wilone O'Kielt,Australia,Manuka Honey Choco,5/11/2022,4284.00,94,High,Other,5921.926683
Karlen McCaffrey,UK,Almond Choco,6/30/2022,6839.00,133,High,Other,5921.926683
Andria Kimpton,Canada,After Nines,5/11/2022,2163.00,70,High,Other,5924.620641
Roddy Speechley,USA,Manuka Honey Choco,7/22/2022,9583.00,315,High,Other,5924.620641
Andria Kimpton,UK,50% Dark Bites,8/24/2022,2653.00,314,High,Other,5924.620641
Kelci Walkden,New Zealand,After Nines,7/7/2022,147.00,72,Low,Other,5924.620641
Camilla Castle,Australia,85% Dark Bars,5/19/2022,3654.00,14,High,Other,5924.620641
Karlen McCaffrey,India,Manuka Honey Choco,7/4/2022,2443.00,581,High,Other,5924.620641
Kelci Walkden,USA,After Nines,6/2/2022,938.00,16,High,Other,5928.361367
Karlen McCaffrey,USA,Raspberry Choco,4/15/2022,14749.00,354,High,Other,5928.361367
Mallorie Waber,Canada,Choco Coated Almonds,7/11/2022,4781.00,241,High,Other,5928.361367
Andria Kimpton,India,Spicy Special Slims,2/23/2022,6307.00,142,High,Other,5928.361367
Madelene Upcott,Canada,Almond Choco,8/22/2022,7602.00,102,High,Other,5928.361367
Kaine Padly,USA,Peanut Butter Cubes,2/16/2022,6790.00,188,High,Other,5928.361367
Van Tuxwell,USA,50% Dark Bites,1/13/2022,9737.00,160,High,Other,5928.361367
Curtice Advani,Australia,Milk Bars,2/14/2022,6979.00,18,High,Other,5928.361367
Roddy Speechley,India,Eclairs,6/10/2022,4382.00,303,High,Other,5928.361367
Curtice Advani,India,Fruit & Nut Bars,7/7/2022,5243.00,176,High,Other,5926.62764
Curtice Advani,Canada,Almond Choco,3/24/2022,4865.00,70,High,Other,5926.62764
Brien Boise,Australia,Fruit & Nut Bars,6/6/2022,8575.00,23,High,Other,5926.62764
Dotty Strutley,Australia,Drinking Coco,7/19/2022,91.00,135,Low,Other,5926.62764
Beverie Moffet,USA,Raspberry Choco,4/19/2022,14798.00,83,High,Other,5922.250165
Marney O'Breen,India,85% Dark Bars,7/19/2022,2205.00,179,High,Other,5931.904553
Jehu Rudeforth,Canada,Drinking Coco,7/15/2022,441.00,24,Low,Other,5931.904553
Ches Bonnell,New Zealand,Spicy Special Slims,2/14/2022,3556.00,18,High,Other,5931.904553
Brien Boise,Canada,99% Dark & Pure,5/18/2022,16793.00,416,High,Other,5931.904553
